clean_for_labeling,sentiment
nih game kenapa ya sudah hari ini stuck memuat pertandingan mulu tidak bisa terus sudah hapus data kali sama uninstall masih sama saja tidak bisa bug nya cepat diperbaiki lah,negative
great,positive
mantap membuat stres,positive
game bagus cuma kalau hero legend sudah bintang susah nge counter beda sama dulu masih ada stars folls blade bisa ngurangin bintang hero,negative
like like,neutral
bagus game nya dan seru buat di mainin dan bisa ngisi waktu luang ketika bosan,negative
di mitic percuma saja di ban pilihan terbanyak malah di biarkan saja,negative
kadang kalah kadang menang,neutral
bagaimana ini kena scam mulu,negative
lagi losterk meding main magic chess goo saja,negative
game dongo,positive
saya suka mcgg nya setiap season kami selalu update bahkan sebelum rilis sudah main sampai tertarik dengan event starlight nya yang kami sayang kan ketika pindah aplikasi kenapa chess board dan skin yang kami beli tidak muncul di mcgg percuma dong beli starlight saat itu sampai sekarang kami enggak tertarik lagi beli starlight di mcgg lagi nunggu game lain yang serupa mungkin bakal lebih seru dan enggak mengecewakan,negative
hama mau honor ketemu orang jago jago terus,positive
keren lah seru pokok nyajika memang,negative
game skem tidak pernah dapat sinergi,negative
aplikasi enggak jelas sinyal sering hilang sistem ban tidak jelas,negative
server masih kacau,negative
game aneh tiba lag toll,neutral
sangat suka gamenya karena membutuhkan fikiran buat mengalahkan musuh,negative
min kok ini enggak bisa di download dulu sempat main diapus sekarang mau download enggak bisa lagi sudah hapus penyimpanan google play store tetap enggak bisa sudah persen malah harus install ulang begitu melulu,negative
terlalu kelihatan pengaturan sistem saat rank sudah tinggi sengaja dibuat susah supaya lebih banyak kalah cari hero dan sinergi dipersulit sengaja lawan acak yang ditemui tiap match dibuat lebih kuat supaya kita kalah mau sebagus apapun sinergi kita pasti lawannya lebih bagus,negative
tidak dapat yang bagus hero nya,negative
joss wes ndang mabar,neutral
gamenya bagus tinggal memaksimalkan peningkatan nya,negative
nise games,neutral
game brengsek on ol hero gold bintang kalah sama ful hero bintang doang,positive
tidak rekomendasi jelek rollan habis win ke tiba main lagi malah lose streak sampai hilang poin,negative
game tahi,neutral
game yang aneh sulit mendapatkan hero yang sama untuk naik level,neutral
saya suka magic chess apa lagi magic chess go go seru sekali kalian harus download magic chess go go ayo sekarang kita main,negative
is the best,neutral
sangat memuas kan,negative
sebenarnya bagus hanya saja kurang diperhatikan aspek performa dan ukuran game mana janji manis saat mau dipisah yang membuat mcgg ini tidak akan berat seperti mc terintegrasi di mlbb faktanya mcgg ini lebih berat dari mlbb itu sendiri,negative
game nya seru dengan berbagai jenis commander yang skill nya berbagai macam jadi enggak terlalu monotongameplay seru enggak membuat jenuh tapi saya kasih bintang dulu soalnya kurang seru di eventjarang keluar event menarik jadi enggak ada misi buat selesain event selain push rankgame nya bagus kedepannya semoga makin sukses,negative
tft better,negative
goblokkkkkkkkkkk kali blessing tidak muncul sinergi yang di cari,negative
game setan sistem sama seperti pemerintahan masak iya level sudah tinggi mencari hero sulit bujang inam,negative
saya suka sekali megic chess go,negative
terima kasih sudah buat game stres ini,neutral
gampang sekali cara mainnya,negative
role ampas hero dipersulit,neutral
bagus hhhhhhhhhhh,negative
ok penak bos,positive
tetap ya battlefield nya tidak seimbang sama seperti game pendahulunya walau lebih fun tapi terlihat perbedaan signifikan untuk setiap sinergi dan hero awalnya tapi ini lebih fun dari game pendahulunya lebih bisa mengurangi efek stres dan emosi karena permainan strategi ya pintar pintar kita saja build sinergi seperti apa semoga game dari satu developt yang sama tetap bisa menggunakan algoritma seimbang game for fun,positive
gemnya bagus,negative
membosankan,negative
terima kasih,neutral
gamenya seru tapi sinyalnya naik turun padahal koneksi bagus,negative
nice game for rilex time,positive
game ini bagus dan bisa buat nyantai dan game ini lebih seru dari game sebelah,positive
josss,neutral
game nya bagus tapi sedikit kuranginmb nya hero nya juga banyak dan mohon opplein kan,negative
tak ada mode offilne tolong updete berikutnya tambahi mode offilnenya agar lebih seru tak makan koata,negative
game gacha ampas masa dari bintang turun sampai di bawah bintang saat sampai bintang entah kenapa sistem gacha nya langsung ampas seperti sengaja sekali biar turun mending kuhapus ini akun mcggku sudah ganti comader hero dan beli comander hero lunox sampai bintang pun gachanya masih ampas sudah saya nyerah akun ku sudah kuhapus tinggal tunggu hari baru terhapus,negative
ok lah saya kasih bintang,negative
kapan voice jepang di mengadakan mind,neutral
minn ada masukan nih tambahkan mode dimana skill commander bisa di gabung dong misaljya kita lagi main commander aurora terus habis pick commander kasih pilihan biar bisa digabung sama skill commander lain lagi misal skill aurora sama karina jadi ada dua skill commander seperti di mode mlbb yang dulu dimana kita bisa nambahin ulti hero lain ke hero kita jadinya seru hehehe,negative
mantap bos,positive
game tidak adilmoonton gilagw turun lebih bintang padahal sinergi juga bintang tetap kalah enggak usah pada main montoon memang se gila itu cuiiih,negative
mantap monton saya suka dengan semua nya tapi lebih bagus kasih lawan yang sesuai dengan rnag kami,negative
game strategi tidak usah konyol deh ini game beruntung kartu bagus yang menang ini game ngandelin kartu sekali balikiin game yang dulu yang tidak menggunakan kartu segala saya kasih bintang mines nih kalau ada,negative
seru dan mantap,neutral
menurut saya game ini sudah sangat bagus dan saya juga ada sedikit saran bagaimana jika di adakannya top local hero comander jadi kita juga semangat untuk push mmr dan memperebutkan top paling tinggi,negative
mantap kakak,positive
untuk developer terhormat saya ingin membagikan pengalaman saya saat bermain menggunakan comannder zilong pada tanggal agustus ini saya mencari efek dari item zilong yaitu kebal crowd control dan lifestyle pengurangan damage dan shield saat ponsel rendah namun saat sudah fase iv saya hanya menemukan efek freze dan pencuri gold saja di lvl dan saya menghabiskan gold saya hanya untuk mendapatkan efek tersebut namun saya tidak menemukannya satupun mohon disesuaikan lagi ya,negative
mantap semoga lebih baik lagi,neutral
banyak cheater,negative
game rusak tidak ml ya tidak mcgg nya semuanya saja rusak mending pindah ke game sebelh,negative
sangat cocok untuk dimainkan,negative
game bagus dikasih comeback,neutral
game nomer terbaik ini bos,positive
parah lylia di nerf sudah tidak bisa naik lvl commander johnson terlalu spam sudah nabrak stun ikut menyerang hero bisa pakai item bisa naik bintang yang lebih parahnya lagi difasilitasi item cristal buat full combo hero lolot pembaruan tidak bagus tidak seimbang gameplay nya seperti hanya sekilas tidak cukup waktu untuk menikmati pertarungan nya,negative
gim mantap,positive
game ampas bukannya membuat senang malah bikit stres,negative
semenjak magic chess dipisah dari mobile legends malah saya enggak bisa main black screen,negative
nerf komander karina lah terlalu op,negative
keren perfecto,positive
susah mendapatkan hero yang di butuhkanjadi malasmaav saya uninstall apknya,negative
game sampah main modal beruntung tidak jauh beda dengan mlbb di game yang satu banyak bug seperti revamp grock kemudian masalah tiba tiba hilang koneksinah game ini juga main modal beruntung hokian tolol,negative
game nya asik seru dan musuh nya ok menurut ku game ini tantagannya lumayan berat lah tapi tolong dong min kasih players ke hokian magat terus min,neutral
sering terjadi lag saat sedang bermain,positive
gameplay dengan konsep dark sistem masih ada player yang mendapat winstreak diberikan permainnan yang kacau dan sangat tidak menyenangkan,negative
semoga eruditio jangan di hilangkan ya monton enak sekali menggunakan eruditio,negative
terlalu sulit bintang ini hero harga,neutral
semakin sukses moonton jangan membuat lag lag ya,positive
game tak apaan game seperti begini enakan dulu sekarang seperti begini amat setiap pertandingn membuat mengesalkan aneh sekali mekanismenya saat main mau jdiin hero enggak dapat anjentah herony ataupun sinerginya padahal masih epiklejend lohtpi mekanismeny berat sekali terus saat mengasih msuh juga masak habis lawan dia eh lwan dia lagi alhasil kalah dong dua kali bagaimana enggak kalah msuhny deh snowblludh seperti api lagi malah dikasih lawan dia lagi jadi enggak seru sekali mainya sama waktunya juga cpet sekali enggak sempat mikir sudah mulai anehh tkk,negative
game jelek sengaja sudah mau kalah baru dikasih heron yang dibutuhkan tidak pernah dapat cristal dan hero yang dibutuhkan pertandingan kalah terus gara semua pada dapat sinergi yang sempurna mohon jangan meledek player nya saya sangat tersinggung karena hal ini,negative
game sampah tingkat kemenangan dan kekalahan itu lah yang saya alamin kalau sudah di lejen atau metik untu dapat hero sulit dan lawan nya cepat sekali jadi hero hero nya untuk naik metik saja saya butuh waktu bulan sudah metik sisen dan juga menang paling juara blum pernah tuh selama saya di legend juara belum ada dari pertandingan itu pun paling banyak juara itu kali mencari bintang harus banyak sekarang nih tidak seperti dulu,negative
game aneh hero yang di butuhkan gamuncul² yang keluar hero yang tidak di menggunakan semua enggak usah download ini game anehhh enggak jelas,negative
game sampah dari segi gameplay juga sampah tidak layak di download game taii,negative
perbaiki sentuhannya tidak benar,negative
menarik dan asik,neutral
baru awal sudah ada hero lawan yang bintang cheat kahatau sistem nya eror,negative
enggak parah,negative
kontholl permainn tidak seimbang puejuhh,negative
bagus gime ini saya suka,negative
perusak mood,positive
saya sudah muak sama game moba iniudh susah kebuka lah,negative
hanya kurang mode yaitu practice,negative
suka magic chess yang duluuuu,negative
mudah saya bisa di beri kemudahan mendapatkan hero yang di rekomendasi minimal bisa sampai rank tertinggi love you,negative
coba bagus tidak,negative
menarik mngisi waktu luang,negative
saya belum download data gamenya saja sudah lag parah woi sampai black screen beberapa menit,negative
min untuk update berikutnya tolong dong tambahi fitur biar kita bisa lihat sudah berapa kali kita ke rank mytic di magic chess gogo ini biar lebih semangat ngepushnnya begitu semoga ke baca,negative
game nya bagus mudahhan kedepannya makin bagus,neutral
hal yang ingin sekali saya harapkantolong poin hadiah star trail dtingkatkn untuk juara dan sebesar jangan pelit hadiah juara mabar rank mytic glory jangan hanya pemain tetap pemain seperti sebelumnya atau menjadi pemain yang bisa diundang mabar go go card saat pertandingan apabila ada minimal pemain rank mytic glory jadikan semua go go card fase semuanya emas jangan ada ungu hero sinergi weapon defender ditingkatkan ratenya mendapatkan,negative
setu permainannya hu,neutral
permainan nya bagus dan asik,neutral
game goblog kalau bentrok pasti musuh selalu dikasih enak padahal awalnya sinergi sudah jadi duluan,negative
lebih seru di bandingkan mlbb,neutral
masih enak lah paling cuman minus keseimbangan sinergi saja,negative
koncoku ya main,neutral
tapi masih kurang mantap nih,neutral
game buruk ampas,negative
gamenya jelek enggak seperti dulu kseringan donlowdod data gunta ganti terus,negative
yes game yang tidak ngerusak ponsel,neutral
hok game terbaik mcgg sama ml nya game aneh,positive
jelek kenpa pisah sama ml,negative
akun saya hilang padahal sudah dikaitkin sama media sosial,negative
sampai honor dikasih win lose win lose sampai mitic biasah lagi match gogo card selalu tidak jelas,negative
matap,neutral
ok keren sip,positive
rate saja buat game developer dark sistem seperti begini mah biar makin dark sistem ygymantap,negative
bolehh,neutral
monton sayang orang rol bawah,negative
game nya sangat seru sekian itu rate dari saya,negative
top global,positive
game rusa buang lah blesing tidak jelas dapetnya sama hero yang ditempatin,negative
jangan dihapus energi eruditio ya moonton,neutral
ok,positive
saya sangat puas dengan game ini tapi tolong kembalikan akun lama saya plisss,negative
game apaan masa di game terakhir ngefreez mana tinggal dikit otomastis kalah hapus saja tidak guna,negative
