clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
game menang kalah di atur deflover nya makin hancur semenjak aplikasi mcgg rilis kagak benar lagi main main nya,negative,positive,negative,negative,negative,negative,negative,negative
izinkan penonton pertandingan menjual hero yang di tonton,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
kenapa saya tidak dapat menginstal game ini,negative,neutral,negative,negative,negative,negative,neutral,negative
saya heran sama sinergi summoner popoludah bintang saja yang keluar popol terus padahal sun sama vexana belum ada kenapa montoot kenapaaaaaaa kadang saya kesel sama popol terus trusan babi benerin lah montod,negative,positive,negative,negative,negative,negative,negative,negative
game bagus mnghibur,neutral,negative,positive,neutral,neutral,positive,positive,positive
nicee,neutral,negative,positive,positive,neutral,positive,positive,positive
rugi kalau tidak donlod game nya bagus,negative,negative,negative,negative,negative,positive,positive,negative
permainan yang sangat buruk emakin banyak sinergi semakin sulit temukan gero yang sama hero yang di pakai malah susah di dapat kalau ada bintang minus saya kasih penilaian paling buruk karena membuat stres saja tidak di bolehin naik level muntun butut,negative,positive,negative,negative,negative,negative,negative,negative
kenapa saya sedang dalam permainan sering mental keluarnyakeluar sendiri dalam permainan tolong penjelasanya,neutral,neutral,neutral,negative,negative,negative,neutral,negative
permainan membosankan kalah nya kali menangnya kali gila apak kalian,negative,positive,negative,negative,negative,negative,negative,negative
aduh yang jelas dong role role an nya sudah enggak ada yang nabrak masa tidak pernah muncul heronya di shop sudah slot tinggi jugab,negative,positive,negative,negative,negative,negative,negative,negative
mantepppp,neutral,negative,positive,positive,neutral,positive,neutral,positive
ngurus server yang benar yakali menghubungkan ulang terus mana saat lagi late game pula,negative,positive,negative,negative,negative,negative,negative,negative
semua bagus sangat bagus untuk banyak commander game play grafik dan lainnya sangat bagus,negative,negative,positive,positive,neutral,positive,positive,positive
semakin kesini semakin berat ini game,positive,positive,negative,negative,negative,negative,negative,negative
masih ada yang main dengan chat curang,negative,positive,negative,negative,negative,negative,negative,negative
sudah bagus tungkatkan saja,negative,positive,negative,neutral,negative,positive,negative,negative
pecah hubungan dengan mobel lagend mana lelet dan kbmbgb besar,negative,positive,negative,negative,negative,negative,negative,negative
saya cinta mcgg,negative,negative,positive,positive,neutral,positive,positive,positive
quit addictive dan menghibur,positive,positive,positive,positive,negative,positive,positive,positive
bagus² tingkat kan lagi,neutral,neutral,negative,neutral,negative,positive,negative,negative
cape saya main game ini ajg tidak benar sistemnya pilih kasih lagi,negative,positive,negative,negative,negative,negative,negative,negative
saya punya saran tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero kemudian ada pengambilan baru kristal seperti di magic ches yang ada di ml dulu soal nya yang sekarang tidak menarik sama sekali juga sinergi elementalis di adakan lagi,negative,positive,negative,negative,negative,negative,negative,negative
game apalah damage comander sampai kurangi lah main jadi tidak lama langsung kalah damage comander yang di terima nya besar mau roll atas bagaimana mending saya hapus game nya,negative,positive,negative,negative,negative,negative,negative,negative
aamon nerf woygak pernah lepas nih,negative,positive,negative,negative,negative,neutral,neutral,negative
i love this game,neutral,negative,positive,positive,neutral,positive,positive,positive
terlalu susah,negative,positive,negative,negative,negative,negative,negative,negative
tidak jelas ini game nya tergantung hokikadang tidak di kasih hokigogo card suka tidak jelas blessing tidak jelasdi kasih menang dulubaru nanti di balikin lagi poin nya ke awalkaya bukan ngpush tapi di jadikan boneka moonton,negative,positive,negative,negative,negative,negative,negative,negative
game setingan taikk menang kali selanjut nya kalah terus ketemu lawan yang tidak ngotak dapat bintang saja susah di awal giliran dapat bintang hero lawan sudah bintang tidak imbang apa lagi sistem miror anjayy sudah tahu ketemu miror nya saja sudah kalah di ketemuin sama yang asli buat gogo card juga tidak ngotak kelihatan kalau mau di kalahin serba jelek bedan sama lawan serba dapat bagus,negative,positive,negative,negative,negative,negative,negative,negative
sempurnaperfect,neutral,negative,positive,neutral,neutral,positive,positive,positive
banyak bug,negative,positive,negative,negative,negative,negative,negative,negative
gas bos ku,neutral,neutral,negative,negative,negative,negative,negative,negative
bagusnya lagi kalau ada mode yang bisa menggunakan skil comander mantap itu pasti,negative,negative,positive,positive,neutral,positive,positive,positive
permainannya sungguh menarik dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus,negative,negative,positive,positive,neutral,positive,positive,positive
sangatttttt bagus,negative,negative,positive,positive,neutral,positive,positive,positive
jika saya mendapatkan biji astro saya akan topup digem ini sebanyakbanyaknya,negative,neutral,neutral,positive,negative,neutral,neutral,neutral
jegoss tenan ini iki,neutral,positive,negative,negative,negative,positive,neutral,negative
sebenarnya bagus bagus saja game nyhanya saja masalah saat mengunduh datatidak bisa di jedakalo tujuan nya memang buat yang beli skin atau chess masuk akaltapi tidak semua orang seperti itutolong ya,negative,negative,negative,neutral,negative,negative,negative,negative
ok,positive,negative,positive,neutral,neutral,negative,positive,positive
bagus sekali game nya pokoknya joss,negative,negative,positive,positive,neutral,positive,positive,positive
game nya bagus cocok buat santai,positive,negative,positive,positive,neutral,positive,positive,positive
asik dan lucu,neutral,negative,positive,positive,neutral,positive,positive,positive
malesnya update menggunakan segala download data,negative,positive,negative,negative,negative,negative,negative,negative
saya suka sekaliigame nya seru sekali,negative,negative,positive,positive,neutral,positive,positive,positive
game kontooooi,positive,positive,negative,negative,negative,positive,neutral,negative
game bawa pusing susah dapat hero yang sama dengan sinergidijual semua hero tetap tidak keluar juga hero nya,negative,positive,negative,negative,negative,negative,negative,negative
tidak jelas enakan seperti dulu ini harus tutor mana lama lagi tidak bisa di skip,negative,positive,negative,negative,negative,negative,negative,negative
makin kesini makin tidak jelas ggcdnya jadi malas buat main lagi,negative,positive,negative,negative,negative,negative,negative,negative
game sakit gilee enggak di kasih menang enggak setara,negative,positive,negative,negative,negative,negative,negative,negative
seruh sih game nya saya masa karakter miya atau wanwan ikut main juga tidak seruh jadi saya kasih bintang,negative,negative,negative,positive,negative,negative,negative,negative
tolong beri saya keuntungan dalam mendapatkan hero maupun gogocard nicke name dio jambu,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
mantap rasanya seperti dulu main tapi di sih dan sih serasa commander dulu sudah tidak bisa di menggunakan di season mana pun karena tidak ada perubahan atau nerf,negative,negative,positive,negative,negative,positive,positive,negative
seru simpel,neutral,negative,positive,positive,neutral,positive,positive,positive
game apaan ini main tidak pernah di kasih menang selalu kalah terus menerus niat mau happy malah membuat darah tinggi,negative,positive,negative,negative,negative,negative,negative,negative
game kontoooll,positive,negative,positive,negative,negative,negative,neutral,positive
agak samaratakan dulu kehokian pemain,negative,positive,negative,neutral,negative,negative,neutral,negative
jangan download game dari moonton,negative,positive,neutral,neutral,negative,neutral,neutral,neutral
game biar tidak bosan,negative,negative,positive,neutral,neutral,positive,positive,positive
obat bosan,negative,positive,negative,negative,negative,negative,negative,negative
hero yang saya mau tidak pernah dapat jadi kalah terus bukanya saya tidak tahu main ya,negative,positive,negative,negative,negative,negative,negative,negative
funny game,positive,negative,positive,positive,neutral,neutral,neutral,positive
game anjj,positive,positive,negative,negative,negative,neutral,neutral,negative
game cacad,positive,positive,negative,negative,negative,negative,neutral,negative
tidak bisa saya mainkan di menu terus saya,negative,neutral,negative,neutral,negative,negative,negative,negative
ok siap tempur,positive,negative,positive,neutral,neutral,neutral,positive,positive
kasih hero yang betol entot,negative,positive,negative,positive,negative,neutral,positive,negative
tolong ganti sinergi baru menjadi yang lama,negative,positive,negative,negative,negative,neutral,neutral,negative
mengecewakan,negative,positive,negative,negative,negative,negative,negative,negative
game gampang,neutral,negative,positive,neutral,neutral,positive,neutral,positive
sistem nya agak lain pemain ada kadang kalau deh di dalam game duel nya sama² itu saja padahal pemain nya ada,negative,positive,negative,neutral,negative,negative,negative,negative
lumayan bagus,negative,negative,positive,neutral,neutral,positive,positive,positive
mantap buat menbunuh waktu,positive,negative,positive,positive,neutral,positive,positive,positive
game hama,neutral,positive,negative,negative,negative,neutral,negative,negative
wokeyasik,neutral,negative,positive,positive,negative,positive,positive,positive
yang benar saja kemungkinan buat keluar hero harga tapi yang keluar banyaknya harga enggak jelas di keterangan hero yang tersisa saja masih lagi tapi enggak ada keluar sama sekali aneh sekali yang keluar malah hero hero yang bukan sinerginya saya deh rol dari gold sampai habis kacau,negative,positive,negative,negative,negative,negative,negative,negative
