content,clean_for_labeling
sering lag servernya... jaringan wifi 100mbps lancar jaya tapi gamenya lag.. diperbaiki severnya refresh di shop tidak jelas.. Hero tidak ada yang pake tidak pernah muncul di shop. stok masih banyak tapi sudah didapat... dark sistem.. game tolol,sering lag servernya koneksi wifi mbps lancar jaya tapi gamenya lag diperbaiki severnya refresh di shop tidak jelas hero tidak ada yang menggunakan tidak pernah muncul di shop stok masih banyak tapi sudah didapat dark sistem game tolol
ga seru,tidak seru
sumpah kesel saya dari awal main mcgg ini saya kesel banget yang namanya comander wanwan +kombo yang keluar petir kombo sampah ngapain di adain. damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo kek gitu tolong lah hapus kombo yang sampah itu.ganggu banget tuh petirnya risi saya setiap ketemu kombo sampah itu.udah mah wanwan ngeluarin skil+petir rusak semua.,sumpah kesel saya dari awal main mcgg ini saya kesel sekali yang namanya comander wanwan kombo yang keluar petir kombo sampah mengapa di mengadakan damage lebih besar daripada heronya sendiri kesel saya setiap main ketemu kobmo seperti begitu tolong lah hapus kombo yang sampah ituganggu sekali tuh petirnya risi saya setiap ketemu kombo sampah ituudah mah wanwan mengeluarkan skilpetir rusak semua
"aku pemain lama d magic chess mobile legend,. magic chess yg skarang ga enak, banyak yg d rubah?",saya pemain lama di magic chess mobile legend magic chess yang sekarang tidak enak banyak yang di rubah
"synerginya tidak seimbang dari segi damage, dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya, jadi kurang enak waktu memainkannya . coba perbaiki dulu biar seimbang",synerginya tidak seimbang dari segi damage dan waktu cari heronya juga susah padahal sudah dipersentase tertingginya jadi kurang enak waktu memainkannya coba perbaiki dulu biar seimbang
untuk severnya pilih pilih,untuk severnya pilih pilih
game kurang adil susah dapet Hero padahal gak ada yang pake,game kurang adil susah dapat hero padahal tidak ada yang menggunakan
"saya kangen sama magic ches yg dulu,, kalo pake comander bass skil 3 ,dapet gatot pake elementalis ,",saya kangen sama magic ches yang dulu kalau menggunakan comander bass skil dapat gatot menggunakan elementalis
games oke,games ok
gacor kangg,gacor kangg
buruk mau login malah tetep suruh buat akun padahal udah ada,buruk mau login malah tetap suruh buat akun padahal sudah ada
Mantap intinya jangan pilikasih di game ok ok!!!,mantap intinya jangan pilikasih di game ok ok
perbaiki lagi sistem nya ga jelas awal² masih 8 peserta ketemu lawan nya itu lagi itu lagi ga muter ga kaya MC d ml,perbaiki lagi sistem nya tidak jelas awal² masih peserta ketemu lawan nya itu lagi itu lagi tidak muter tidak seperti mc di ml
"seru,bikin penasaran",serubikin penasaran
semua game moonton bikin kesal selalu eror saat momen krusial padahal jaringan bagus bukan happy malah stres yang ada 😡,semua game moonton membuat kesal selalu eror saat momen krusial padahal koneksi bagus bukan happy malah stres yang ada
game nya oon,game nya oon
dari sistem terus asyu,dari sistem terus asyu
aga bingung dengan sinerginya,aga bingung dengan sinerginya
"saran aja sih mending di hapus gams nya, dikit"" di nerf OP dikit di nerf GK komender GK Sinerji sama aja di nerf semua",saran saja sih mending di hapus gams nya dikit di nerf op dikit di nerf tidak komender tidak sinerji sama saja di nerf semua
SIP LAH POKOK NYA,sip lah pokok nya
Terimakasih,terimakasih
game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak,game yang menang kalah di tentukan oleh sistem bukan di tentukan oleh skil dan otak
jos gandos,jos gandos
"lumayan lah,untuk sementara",lumayan lahuntuk sementara
"ampas sengaja bet ngebuat lawan dapat di kasih kartu bagus bagus, lawan di kasih 3 kristal sinergi gue di kasih ampas",ampas sengaja sekali ngebuat lawan dapat di kasih kartu bagus bagus lawan di kasih kristal sinergi gue di kasih ampas
game tolol akun gw ilang yet,game tolol akun saya hilang yet
"gamenya seru tapi akan seru lagi kalok saat menang/ atau ata quest yg di mana hadiahnya adalah Hero yg ada di MLbb yg setuju like sampai 1.000,! agar di liat sama papa MONTON!",gamenya seru tapi akan seru lagi kalok saat menang atau ata quest yang di mana hadiahnya adalah hero yang ada di mlbb yang setuju like sampai agar di lihat sama papa monton
orangnya pada egois,orangnya pada egois
"game bagus , cuma role bawah di hilangkan kan aja",game bagus cuma role bawah di hilangkan kan saja
gem menang kalah di atur deflover nya makin hancur semenjak apk mcgg rilis kagak bener LG main main nya,game menang kalah di atur deflover nya makin hancur semenjak aplikasi mcgg rilis kagak benar lagi main main nya
Izinkan penonton pertandingan menjual hero yang di tonton!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡!!!!!!!,izinkan penonton pertandingan menjual hero yang di tonton
kenapa saya tidak dapat menginstal game ini,kenapa saya tidak dapat menginstal game ini
gua heran sama sinergi summoner. popoludah bintang 3 aja yang keluar popol trus padahal sun sama vexana blom ada. kenapa montoot kenapaaaaaaa kadang gua kesel sama popol trus trusan babi benerin lah montod,saya heran sama sinergi summoner popoludah bintang saja yang keluar popol terus padahal sun sama vexana belum ada kenapa montoot kenapaaaaaaa kadang saya kesel sama popol terus trusan babi benerin lah montod
game bgus& mnghibur,game bagus mnghibur
nicee,nicee
"rugi kalau gak donlod, game' nya bagus",rugi kalau tidak donlod game nya bagus
Permainan yang sangat buruk. emakin banyak sinergi semakin sulit temukan gero yang sama. Hero yang di pakai malah susah di dapat. kalo ada bintang minus aku kasih penilaian paling buruk. karna bikin stres aja ga di bolehin naik level muntun butut,permainan yang sangat buruk emakin banyak sinergi semakin sulit temukan gero yang sama hero yang di pakai malah susah di dapat kalau ada bintang minus saya kasih penilaian paling buruk karena membuat stres saja tidak di bolehin naik level muntun butut
"kenapa gua sedang dalam permainan sering mental keluarnya,(keluar sendiri dalam permainan) tolong penjelasanya",kenapa saya sedang dalam permainan sering mental keluarnyakeluar sendiri dalam permainan tolong penjelasanya
permainan membosankan kalah nya 10 x menangnya 1 x gila apak kalian,permainan membosankan kalah nya kali menangnya kali gila apak kalian
"aduhh yang jelas dong role role an nya, udah gaada yang nabrak masa gak pernah muncul heronya di shop, udah slot tinggi jugab",aduh yang jelas dong role role an nya sudah enggak ada yang nabrak masa tidak pernah muncul heronya di shop sudah slot tinggi jugab
mantepppp,mantepppp
"ngurus server yg bener, yakali menghubungkan ulang terus, mana pas lagi late game pula",ngurus server yang benar yakali menghubungkan ulang terus mana saat lagi late game pula
"Semua bagus sangat bagus untuk banyak commander, game play, grafik, dan lainnya sangat bagus",semua bagus sangat bagus untuk banyak commander game play grafik dan lainnya sangat bagus
Semakin kesini semakin berat ini game,semakin kesini semakin berat ini game
masih ada yang main dengan chat curang,masih ada yang main dengan chat curang
sudah bagus tungkatkan saja,sudah bagus tungkatkan saja
pecah hubungan dengan Mobel lagend mana lelet dan KB/MB/GB besar,pecah hubungan dengan mobel lagend mana lelet dan kbmbgb besar
aku cinta mcgg,saya cinta mcgg
quit addictive dan menghibur,quit addictive dan menghibur
bagus² tingkat kan lagi,bagus² tingkat kan lagi
"cape gw main game ini ajg, ga bener sistemnya, pilih kasih lagi",cape saya main game ini ajg tidak benar sistemnya pilih kasih lagi
"aku punya saran, tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero, kemudian ada pengambilan baru kristal, seperti di magic ches yang ada di ml dulu, soal nya yg sekarang gk menarik sama sekali, juga sinergi elementalis di adakan lagi",saya punya saran tolong sistem mcgg nya ketika awal permainan itu ada pemilihan hero kemudian ada pengambilan baru kristal seperti di magic ches yang ada di ml dulu soal nya yang sekarang tidak menarik sama sekali juga sinergi elementalis di adakan lagi
game apalah damage comander nyampe 28 30 kurangin lah main jadi gk lama langsung kalah damage comander yg di terima nya besar mau roll atas gimna mending gw hapus game nya,game apalah damage comander sampai kurangi lah main jadi tidak lama langsung kalah damage comander yang di terima nya besar mau roll atas bagaimana mending saya hapus game nya
"aamon nerf woy,gak pernah lepas ni😹",aamon nerf woygak pernah lepas nih
i love this game,i love this game
terlalu susah,terlalu susah
"ga jelas ini game nya, tergantung hoki,kadang ga di kasih hoki,Gogo card suka ga jelas, blessing ga jelas,di kasih menang dulu,baru nanti di balikin lagi poin nya ke awal,kaya bukan ngpush tapi di jadiin boneka moonton",tidak jelas ini game nya tergantung hokikadang tidak di kasih hokigogo card suka tidak jelas blessing tidak jelasdi kasih menang dulubaru nanti di balikin lagi poin nya ke awalkaya bukan ngpush tapi di jadikan boneka moonton
"Game setingan taikk, menang 1 X selanjut nya kalah terus ktmu lawan yg ga ngotak, dapet bintang 2 aja susah di awal, giliran dapet bintang 2 hero lawan udah bintang 3 ga imbang, apa lagi sistem miror anjayy udah tau ktmu miror nya ajah udah kalah di ketemuin sma yg asli, buat gogo card juga ga ngotak keliatan kalo mau di kalahin serba jelek bedan sma lawan serba dapet bagus",game setingan taikk menang kali selanjut nya kalah terus ketemu lawan yang tidak ngotak dapat bintang saja susah di awal giliran dapat bintang hero lawan sudah bintang tidak imbang apa lagi sistem miror anjayy sudah tahu ketemu miror nya saja sudah kalah di ketemuin sama yang asli buat gogo card juga tidak ngotak kelihatan kalau mau di kalahin serba jelek bedan sama lawan serba dapat bagus
"Sempurna,Perfect.",sempurnaperfect
banyak bug,banyak bug
gas bos qu,gas bos ku
bagusnya lagi klo ada mode yang bisa pake 2 skil comander mantap itu pasti,bagusnya lagi kalau ada mode yang bisa menggunakan skil comander mantap itu pasti
"permainannya sungguh menarik, dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus",permainannya sungguh menarik dan peningkatan dari segi buffdan nerf untuk membalance kan game lumayan bagus
sangatttttt bagussss,sangatttttt bagus
jika aku mendapatkan biji astro aku akan topup digem ini sebanyak-banyaknya,jika saya mendapatkan biji astro saya akan topup digem ini sebanyakbanyaknya
jegoss tenan ne iki,jegoss tenan ini iki
"sebenarnya bagus bagus saja game ny,hanya saja masalah saat mengunduh data,tidak bisa di jeda,kalo tujuan nya memang buat yang beli skin atau chess masuk akal,tapi tidak semua orang seperti itu,tolong ya.",sebenarnya bagus bagus saja game nyhanya saja masalah saat mengunduh datatidak bisa di jedakalo tujuan nya memang buat yang beli skin atau chess masuk akaltapi tidak semua orang seperti itutolong ya
okeee,okeee
baguss banget game nya pokoknya joss,bagus sekali game nya pokoknya joss
game nya bagus cocok buat santai,game nya bagus cocok buat santai
asik dan lucu,asik dan lucu
malesnya update pake segala download data,malesnya update menggunakan segala download data
"saya suka sekalii,game nya seru bangett!!",saya suka sekaliigame nya seru sekali
Game kontooooI,game kontooooi
game bawa pusing susah dapet Hero yg sama dengan sinergi...dijual semua Hero tetep gak keluar juga Hero nya ..,game bawa pusing susah dapat hero yang sama dengan sinergidijual semua hero tetap tidak keluar juga hero nya
"gak jelas,, enakan seperti dulu ini harus tutor,, mana lama lagi gak bisa di skip",tidak jelas enakan seperti dulu ini harus tutor mana lama lagi tidak bisa di skip
makin kesini makin gak jelas ggcdnya jadi males buat main lagi,makin kesini makin tidak jelas ggcdnya jadi malas buat main lagi
game sakit gilee nggak di kasi menang nggak setara,game sakit gilee enggak di kasih menang enggak setara
"seruh si game nya saya, masa karakter Miya atau Wanwan ikut main jga ga seruh, jadi saya kasi bintang 3",seruh sih game nya saya masa karakter miya atau wanwan ikut main juga tidak seruh jadi saya kasih bintang
"tolong beri saya keuntungan dalam mendapatkan Hero maupun gogocard, Nicke name Dio jambu 👍",tolong beri saya keuntungan dalam mendapatkan hero maupun gogocard nicke name dio jambu
mantap 👍 rasanya kek dlu main tapi di S1 dan S2 serasa commander dlu udah gak bisa di pake di Season mana pun karena gak ada perubahan atau nerf,mantap rasanya seperti dulu main tapi di sih dan sih serasa commander dulu sudah tidak bisa di menggunakan di season mana pun karena tidak ada perubahan atau nerf
seruu simpel,seru simpel
game apaan ini maen gak pernah di kasih menang selalu kalah terus menerus niat mau happy2 malah bikin darah tinggi,game apaan ini main tidak pernah di kasih menang selalu kalah terus menerus niat mau happy malah membuat darah tinggi
game kon.......t....oooll,game kontoooll
agak samaratakan dulu kehokian pemain,agak samaratakan dulu kehokian pemain
JANGAN DOWNLOAD GAME DARI MOONTON.......,jangan download game dari moonton
game biar GK gabut,game biar tidak bosan
obat gabut,obat bosan
hero yang saya mau gak pernah dapat jadi kalah terus bukanya saya gak tau main ya,hero yang saya mau tidak pernah dapat jadi kalah terus bukanya saya tidak tahu main ya
Funny game,funny game
game anjj😡,game anjj
GAME CACAD!!!,game cacad
tidak bisa saya mainkan di menu terus saya,tidak bisa saya mainkan di menu terus saya
ok siap tempur,ok siap tempur
kasih hero yg betol tot,kasih hero yang betol entot
TOLONG GANTI SINERGI BARU MENJADI YANG LAMA !!!,tolong ganti sinergi baru menjadi yang lama
mengecewakan,mengecewakan
game gampang,game gampang
sistem nya agak lain pemain ada 8 kadang kalau dah di dalam game duel nya sama² itu aja padahal pemain nya ada 8,sistem nya agak lain pemain ada kadang kalau deh di dalam game duel nya sama² itu saja padahal pemain nya ada
lumayan bagus,lumayan bagus
"Mantab, buat menbunuh waktu",mantap buat menbunuh waktu
game hama,game hama
wokey..asik,wokeyasik
"yang bener aja, kemungkinan buat keluar hero harga 4 30% tapi yang keluar banyaknya harga 2, gajelas. di keterangan hero yang tersisa aja masih 13 lagi tapi gaada keluar sama sekali aneh banget. yang keluar malah hero hero yang bukan sinerginya gua dah rol dari gold 50 sampe abis kacau.",yang benar saja kemungkinan buat keluar hero harga tapi yang keluar banyaknya harga enggak jelas di keterangan hero yang tersisa saja masih lagi tapi enggak ada keluar sama sekali aneh sekali yang keluar malah hero hero yang bukan sinerginya saya deh rol dari gold sampai habis kacau
"lebih seru msgic chees dari pada mcgg,maen mcgg masih banyak di atur sistem buat kemenangan nya",lebih seru msgic chees dari pada mcggmaen mcgg masih banyak di atur sistem buat kemenangan nya
rame bisa di mainkan kapan saja,rame bisa di mainkan kapan saja
